Departamento,Municipio,Area (km2)
Valle del Cauca,Argelia,87
Valle del Cauca,Bolívar,602
Valle del Cauca,Buenaventura,6028
Valle del Cauca,Buga,832
Valle del Cauca,Bugalagrande,374
Valle del Cauca,Caicedonia,170
Valle del Cauca,Cali,562
Valle del Cauca,Candelaria,285
Valle del Cauca,Cartago,279
Valle del Cauca,Dagua,886
Valle del Cauca,Darién,1154
Valle del Cauca,El Águila,199
Valle del Cauca,El Cairo,283
Valle del Cauca,El Cerrito,466
Valle del Cauca,El Dovio,383
Valle del Cauca,Florida,253
Valle del Cauca,Ginebra,313
Valle del Cauca,Guacarí,167
Valle del Cauca,Jamundí,655
Valle del Cauca,La Cumbre,235
Valle del Cauca,La Unión,125
Valle del Cauca,La Victoria,276
Valle del Cauca,Obando,213
Valle del Cauca,Palmira,1123
Valle del Cauca,Pradera,407
Valle del Cauca,Restrepo,237
Valle del Cauca,Riofrío,280
Valle del Cauca,Roldanillo,217
Valle del Cauca,San Pedro,240
Valle del Cauca,Sevilla,639
Valle del Cauca,Toro,166
Valle del Cauca,Trujillo,221
Valle del Cauca,Tuluá,911
Valle del Cauca,Ulloa,42
Valle del Cauca,Versalles,352
Valle del Cauca,Vijes,214
Valle del Cauca,Yotoco,321
Valle del Cauca,Yumbo,228
Valle del Cauca,Zarzal,362
Vaupés,Carurú,6271
Vaupés,Mitú,16422
Vaupés,Pacoa,14108
Vaupés,Papunaua,5937
Vaupés,Taraira,6619
Vaupés,Yavaraté,3459
Vichada,Cumaribo,65193
Vichada,La Primavera,22159
Vichada,Puerto Carreño,12897
Vichada,Santa Rosalía,3937
