State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019
5,Antioquia,5495,Nechí,21201,22598,24221,25790,26652,1,4,7,207,145
5,Antioquia,5501,Olaya,3080,3083,3077,3127,3150,1,8,4,0,2
5,Antioquia,5541,Peñol,19675,20076,20463,21049,21427,3,4,0,0,3
5,Antioquia,5543,Peque,7838,7861,7929,8097,8186,0,58,4,1,0
5,Antioquia,5576,Pueblorrico,8772,8681,8585,8664,8681,0,3,2,1,1
5,Antioquia,5579,Puerto Berrío,38476,38580,38763,39314,40048,67,53,35,30,199
5,Antioquia,5585,Puerto Nare,14687,14370,14208,14380,14384,15,11,6,6,44
5,Antioquia,5591,Puerto Triunfo,16198,16529,17081,18055,18550,35,13,8,1,34
5,Antioquia,5604,Remedios,25399,26222,27182,28415,29061,20,42,8,1,97
5,Antioquia,5607,Retiro,21773,22166,22697,23514,24185,4,3,0,0,0
5,Antioquia,5615,Rionegro,120841,125285,130128,135465,139553,5,0,1,0,2
5,Antioquia,5628,Sabanalarga,8879,8879,8907,9032,9155,4,4,2,0,1
5,Antioquia,5631,Sabaneta,59273,68224,76937,82375,85484,20,104,20,10,20
5,Antioquia,5642,Salgar,17939,17974,17983,18258,18218,5,22,1,0,5
5,Antioquia,5647,San Andrés de Cuerquía,7077,7090,7115,7235,7240,4,4,1,0,38
5,Antioquia,5649,San Carlos,15959,15985,16004,16247,15940,9,26,7,8,9
5,Antioquia,5652,San Francisco,5538,5564,5567,5648,5776,4,0,2,0,0
5,Antioquia,5656,San Jerónimo,14709,14877,15012,15361,15710,20,287,39,8,21
5,Antioquia,5658,San José de La Montaña,3449,3478,3536,3646,3706,1,0,0,0,0
5,Antioquia,5659,San Juan de Urabá,19769,19791,19788,20093,20549,11,60,69,60,77
5,Antioquia,5660,San Luis,13588,13365,13057,12995,13035,46,32,6,0,15
5,Antioquia,5664,San Pedro de Los Milagros,22381,21902,21720,21949,22447,2,5,0,4,4
5,Antioquia,5665,San Pedro de Urabá,30403,30459,30480,30932,31571,12,13,25,164,82
5,Antioquia,5667,San Rafael,15425,15451,15470,15698,15632,16,32,0,0,8
5,Antioquia,5670,San Roque,21012,21120,21175,21519,21533,4,23,1,0,4
5,Antioquia,5674,San Vicente Ferrer,20277,20898,21429,22093,22258,5,2,0,0,0
5,Antioquia,5679,Santa Bárbara,26172,26271,26350,26784,26944,5,304,33,15,7
5,Antioquia,5686,Santa Rosa de Osos,34860,35196,35539,36318,37143,1,2,4,0,0
5,Antioquia,5690,Santo Domingo,12096,12156,12156,12394,12326,0,4,13,1,9
5,Antioquia,5697,El Santuario,33586,34058,34591,35422,36043,5,2,1,1,0
5,Antioquia,5736,Segovia,37116,37199,37380,37900,38692,29,67,7,8,143
5,Antioquia,5756,Sonsón,35966,35882,35859,36321,36394,3,3,0,2,25
5,Antioquia,5761,Sopetrán,14725,14748,14794,15053,15293,33,37,4,6,8
5,Antioquia,5789,Támesis,17413,16837,16330,16281,16193,3,23,1,0,1
5,Antioquia,5790,Tarazá,26091,26212,26387,26964,27517,7,14,5,95,118
5,Antioquia,5792,Tarso,6988,6516,6217,6184,6194,55,5,4,2,11
5,Antioquia,5809,Titiribí,11445,11216,10895,10775,10716,10,145,6,1,17
5,Antioquia,5819,Toledo,4854,4881,4896,4993,5005,8,2,1,2,0
5,Antioquia,5837,Turbo,122509,122661,122762,124552,127565,147,100,33,242,442
5,Antioquia,5842,Uramita,6775,6781,6788,6888,6875,29,13,0,0,1
5,Antioquia,5847,Urrao,29571,29633,29692,30127,30484,5,8,1,1,3
5,Antioquia,5854,Valdivia,13591,13598,13582,13801,13950,16,66,7,4,36
5,Antioquia,5856,Valparaíso,6922,6744,6564,6498,6462,58,192,20,3,4
5,Antioquia,5858,Vegachí,12680,12323,11918,11810,11910,0,6,6,0,62
5,Antioquia,5861,Venecia,11404,11417,11434,11602,11636,5,63,9,1,1
5,Antioquia,5873,Vigía del Fuerte,7224,7874,8523,9093,9265,0,1,4,5,1
5,Antioquia,5885,Yalí,7312,7384,7447,7608,7630,0,4,0,0,7
5,Antioquia,5887,Yarumal,40716,40818,40952,41542,42116,13,11,4,1,3
5,Antioquia,5890,Yolombó,22151,22217,22208,22538,23050,18,107,11,6,83
5,Antioquia,5893,Yondó,16476,17256,18108,19040,19624,19,18,7,6,38
5,Antioquia,5895,Zaragoza,24229,24267,24282,24651,25210,44,5,10,14,79
8,Atlántico,8001,Barranquilla,1224197,1210233,1195887,1206319,1243056,1403,640,684,1679,1855
8,Atlántico,8078,Baranoa,58610,59498,60523,62382,64949,88,25,7,162,418
8,Atlántico,8137,Campo de La Cruz,21603,21872,22242,22879,23230,5,0,4,0,32
8,Atlántico,8141,Candelaria,14723,15085,15452,15982,16648,14,2,3,1,30
8,Atlántico,8296,Galapa,43524,50213,56221,60708,64260,416,73,39,136,65
8,Atlántico,8372,Juan de Acosta,18818,19532,20185,20999,21971,34,6,3,49,44
8,Atlántico,8421,Luruaco,26533,26909,27346,28175,29348,51,10,13,5,54
8,Atlántico,8433,Malambo,114735,118412,122716,128203,134468,415,81,22,157,181
8,Atlántico,8436,Manatí,18117,18550,19061,19808,20698,28,0,4,4,67
8,Atlántico,8520,Palmar de Varela,27208,27639,28093,28932,30094,291,46,10,6,26
8,Atlántico,8549,Piojó,6118,6260,6402,6608,6873,24,3,0,7,0
8,Atlántico,8558,Polonuevo,17120,17374,17659,18197,18941,27,8,5,199,124
8,Atlántico,8560,Ponedera,22432,22765,23149,23848,24877,62,13,3,6,51
8,Atlántico,8573,Puerto Colombia,38671,43291,46643,49264,51695,78,37,14,38,82
8,Atlántico,8606,Repelón,24774,25096,25457,26200,27249,33,9,11,1,21
8,Atlántico,8634,Sabanagrande,28981,29850,30944,32334,33858,63,13,5,12,21
8,Atlántico,8638,Sabanalarga,88159,89287,90637,93261,97005,286,38,10,99,320
8,Atlántico,8675,Santa Lucía,15116,15318,15568,16023,16624,2,5,0,0,3
8,Atlántico,8685,Santo Tomás,27717,28320,28905,29829,31027,394,50,11,7,11
