State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5051,Arboletes,28808,28865,28862,29295,29942,44,51,50,96,49,8.22,21.14,24.66,45.98,27.05,3.64,8.74,11.95,45.47,25.86,6.06,26.59,0.4,50.3,49.7,34.7,78.56,0.684472343953571,0.13869477673812625,0.017766196849461093,0.00047376524931896246,0.00023688262465948123,0.00011844131232974062,0.004178272980501393,10.130919220055711
5,Antioquia,5055,Argelia,7759,7727,7676,7689,7577,0,2,0,1,0,6.83,18.6,24.23,50.34,0.84,0.03,8.71,9.85,37.35,36.97,1.91,25.24,0.43,51.75,48.25,22.68,62.63,0.5178299298994209,0.11398963730569948,0.007010057909174032,0.00030478512648582747,0.00030478512648582747,0.0006095702529716549,0.0038910505836575876,8.743190661478598
5,Antioquia,5059,Armenia,5321,5218,5123,5139,5085,9,16,0,0,1,4.4,13.14,18.43,64.02,0.18,0.08,9.01,16.52,33.67,36.45,2.44,28.88,1.05,50.07,49.93,17.59,59.92,0.12272291466922339,0.4228187919463087,0.09827420901246404,0.0014381591562799617,0.00047938638542665386,0.0,0.009009009009009009,12.378378378378379
5,Antioquia,5079,Barbosa,48268,48938,49978,51969,53242,17,125,107,78,40,5.01,13.2,25.06,56.73,0.51,0.04,7.27,5.92,54.85,42.58,4.04,18.6,3.27,49.62,50.38,22.69,56.29,0.15812188019966722,0.5979617304492513,0.05579242928452579,0.0036397670549084857,0.002391846921797005,0.0011959234608985025,0.019230769230769232,76.57211538461539
5,Antioquia,5086,Belmira,5908,5917,5911,6000,6054,0,3,0,1,0,6.26,17.48,27.0,49.26,39.22,0.02,8.95,7.63,45.13,39.04,1.03,22.66,0.54,50.83,49.17,28.28,55.99,0.13071895424836602,0.45098039215686275,0.07581699346405228,0.0017429193899782135,0.00043572984749455336,0.0,0.0035842293906810036,5.526881720430108
5,Antioquia,5088,Bello,455952,481333,504580,522264,538527,605,1749,204,89,88,5.6,12.86,27.85,53.69,1.94,0.06,6.4,3.01,66.68,41.82,5.41,14.84,4.39,48.14,51.86,5.89,32.23,0.22492957106506725,0.28207356415848783,0.3002885314431116,0.04913554162122864,0.00046005997818974917,0.00023854961832061068,0.14084507042253522,1092.2887323943662
5,Antioquia,5091,Betania,10153,10161,10168,10323,10274,4,115,11,3,2,6.21,16.6,25.02,52.17,0.75,0.37,9.54,12.56,34.14,37.7,1.28,25.51,0.14,52.12,47.88,30.44,61.11,0.10202407002188184,0.5273522975929978,0.06099562363238512,0.0,0.0002735229759299781,0.0002735229759299781,0.0058823529411764705,15.25294117647059
5,Antioquia,5093,Betulia,15362,15374,15384,15607,15736,2,49,12,8,1,6.94,17.83,26.19,49.04,0.47,0.18,9.83,14.65,33.07,38.71,1.07,23.86,0.21,51.38,48.62,19.34,62.6,0.4030750678323787,0.18495628580042206,0.04492010853180585,0.005878806150135665,0.0010551703346397348,0.0006029544769369913,0.00392156862745098,18.470588235294116
5,Antioquia,5101,Ciudad Bolívar,29245,27585,26369,26118,26160,47,84,18,9,10,5.6,15.3,24.07,55.02,0.82,1.09,11.68,10.92,42.22,39.08,2.54,21.99,1.19,50.01,49.99,15.7,58.26,0.1695095948827292,0.3624733475479744,0.20213219616204692,0.004157782515991471,0.0003198294243070363,0.0,0.0035087719298245615,25.75438596491228
5,Antioquia,5107,Briceño,7889,7895,7906,8039,8065,2,1,4,27,7,7.47,22.22,26.15,44.16,0.52,0.05,17.22,13.25,31.74,21.51,13.52,23.46,0.0,51.65,48.35,31.33,69.5,0.3945578231292517,0.24489795918367346,0.04421768707482993,0.0003779289493575208,0.0,0.0,0.0024630541871921183,4.714285714285714
